#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
59,Egreedy,1,59,4.5/3.75,0.00584864616394043,1.3013780117034912,None,1,[0 0 1 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0]
60,Egreedy,1,60,4.75/4.0,0.011969804763793945,1.3133478164672852,None,2,[0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 2 0 0 0 0]
61,Egreedy,1,61,5.5/5.25,0.4966616630554199,1.810009479522705,None,34,[1 0 0 1 0 1 2 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 2 0 0 0 0]
62,Egreedy,1,62,6.25/4.0,0.013172149658203125,1.8231816291809082,None,2,[1 0 0 1 0 1 2 0 0 0 0 2 0 1 0 1 1 0 1 1 0 1 2 0 0 0 0]
63,Egreedy,1,63,6.0/3.75,0.004705905914306641,1.8278875350952148,None,1,[1 0 0 1 0 1 2 0 0 0 0 2 0 0 0 1 1 0 1 1 0 1 2 0 0 0 0]
64,Egreedy,1,64,5.75/3.5,0.012019872665405273,1.8399074077606201,None,3,[1 0 0 1 0 1 2 0 0 0 0 2 0 0 0 1 1 0 0 1 0 1 2 0 0 0 0]
65,Egreedy,1,65,6.25/4.5,0.007936477661132812,1.847843885421753,None,2,[1 0 0 1 0 1 2 0 0 0 0 2 2 0 0 0 0 0 0 1 0 1 2 0 0 0 0]
66,Egreedy,1,66,6.5/4.25,0.00783538818359375,1.8556792736053467,None,2,[0 0 0 1 0 1 2 0 0 0 0 2 2 0 0 0 0 0 0 1 0 1 2 0 0 0 0]
67,Egreedy,1,67,5.75/3.5,0.003971099853515625,1.8596503734588623,None,1,[0 0 0 1 0 1 0 0 0 1 0 2 2 0 0 0 0 0 0 1 0 1 2 0 0 0 0]
68,Egreedy,1,68,5.5/3.25,0.00804901123046875,1.867699384689331,None,2,[0 0 0 1 0 1 0 0 0 0 0 2 2 0 0 0 0 0 0 1 0 1 2 0 0 0 0]
69,Egreedy,1,69,5.5/3.25,0.007748842239379883,1.875448226928711,None,2,[0 0 0 1 0 1 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0]
70,Egreedy,1,70,4.75/4.5,0.007988214492797852,1.8834364414215088,None,2,[0 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 1 2 0 0 0 0]
71,Egreedy,1,71,4.5/4.25,0.0041904449462890625,1.8876268863677979,None,1,[0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 2 0 0 0 0]
72,Egreedy,1,72,4.25/2.0,0.012521982192993164,1.900148868560791,None,2,[0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0]
73,Egreedy,1,73,4.5/2.75,0.05050921440124512,1.9506580829620361,None,3,[1 0 1 1 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0]
74,Egreedy,1,74,4.25/2.5,0.005963325500488281,1.9566214084625244,None,1,[1 0 1 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0]
