#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
11,Egreedy,1,11,11.25,0.01389455795288086,416.71372389793396,None,2,[0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 1 1 2 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 1 1 1 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0]
12,Egreedy,1,12,10.25,0.006899356842041016,416.720623254776,None,1,[0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 1 1 2 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 1 1 1 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0]
13,Egreedy,1,13,10.25,0.013741016387939453,416.73436427116394,None,2,[0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 1 1 2 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 1 0 1 1 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0]
14,Egreedy,1,14,10.0,0.006860971450805664,416.74122524261475,None,1,[0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 1 1 2 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 1 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0]
15,Egreedy,1,15,10.0,0.013465404510498047,416.75469064712524,None,2,[0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0
 1 0 1 0 1 1 2 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 1 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0]
16,Egreedy,1,16,9.75,0.006674766540527344,416.76136541366577,None,1,[0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0
 1 0 0 0 1 1 2 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 1 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0]
17,Egreedy,1,17,10.5,0.006640911102294922,416.76800632476807,None,1,[0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0
 1 0 0 0 1 1 2 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 1 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0]
18,Egreedy,1,18,10.75,0.006552934646606445,416.7745592594147,None,1,[0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0
 1 0 0 0 1 1 2 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 1 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0]
19,Egreedy,1,19,11.5,0.04013657569885254,416.8146958351135,None,6,[0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0
 1 0 0 0 1 1 2 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0
 1 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0]
20,Egreedy,1,20,12.25,0.00671076774597168,416.8214066028595,None,1,[0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0
 1 0 0 0 1 1 2 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0
 1 0 1 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0]
21,Egreedy,1,21,12.0,0.006754398345947266,416.82816100120544,None,1,[0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0
 1 0 0 0 1 1 2 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0
 1 0 1 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0]
22,Egreedy,1,22,11.75,0.013297319412231445,416.8414583206177,None,2,[0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0
 1 0 0 0 0 1 2 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0
 1 0 1 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0]
23,Egreedy,1,23,12.5,0.013260364532470703,416.85471868515015,None,2,[0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0
 1 0 0 0 0 1 2 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0
 1 0 1 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0]
24,Egreedy,1,24,12.75,0.03918194770812988,416.8939006328583,None,6,[0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0
 1 0 0 0 0 1 2 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0
 1 0 1 0 0 0 0 1 0 2 0 0 0 0 2 0 0 0 0]
25,Egreedy,1,25,11.0,0.007718801498413086,416.9016194343567,None,1,[0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 1 0
 1 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0]
26,Egreedy,1,26,12.0,0.013481616973876953,416.91510105133057,None,2,[0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0
 1 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0]
27,Egreedy,1,27,12.25,0.03336596488952637,416.9484670162201,None,5,[0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0
 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0]
28,Egreedy,1,28,12.0,0.00647735595703125,416.9549443721771,None,1,[0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0
 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0]
29,Egreedy,1,29,11.75,0.0063817501068115234,416.96132612228394,None,1,[0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0]
30,Egreedy,1,30,10.75,0.0065250396728515625,416.9678511619568,None,1,[0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0]
31,Egreedy,1,31,13.75,0.038271427154541016,417.0061225891113,None,6,[0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 2 0 0 0 1 0 0 2 0 0 0 0 0 1 1 1
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0]
32,Egreedy,1,32,13.75,0.019245147705078125,417.0253677368164,None,3,[0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 2 0 0 0 1 0 0 2 0 0 0 0 0 1 1 1
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0
 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 1 0]
33,Egreedy,1,33,13.75,0.01990485191345215,417.04527258872986,None,3,[0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2 0 0 0 0 2 0 0 0 1 0 0 2 0 0 0 0 0 1 1 1
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 1 0]
34,Egreedy,1,34,13.0,0.0065114498138427734,417.0517840385437,None,1,[0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 1 0]
35,Egreedy,1,35,12.75,0.006564617156982422,417.0583486557007,None,1,[0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 1 0]
36,Egreedy,1,36,12.5,0.006471872329711914,417.0648205280304,None,1,[0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 1 0]
37,Egreedy,1,37,11.75,0.006551980972290039,417.0713725090027,None,1,[0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1
 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
